vehicle_id,driver_id,make,model,year,licence_plate,color,is_active
1,1,Hyundai,Elantra,2017,DA00001,Blue,False
2,2,Honda,Elantra,2019,DA00002,Black,True
3,3,Toyota,Focus,2022,DA00003,Black,True
4,4,Ford,Focus,2019,DA00004,Silver,True
5,5,Ford,Focus,2021,DA00005,Silver,True
6,6,Toyota,Corolla,2022,DA00006,Black,True
7,7,Ford,Corolla,2022,DA00007,White,True
8,8,Honda,Elantra,2018,DA00008,White,True
9,9,Honda,Elantra,2021,DA00009,Blue,True
10,10,Ford,Focus,2017,DA00010,Blue,True
11,11,Ford,Elantra,2019,DA00011,Silver,True
12,12,Toyota,Corolla,2015,DA00012,Black,True
13,13,Toyota,Focus,2018,DA00013,Blue,True
14,14,Ford,Focus,2018,DA00014,White,True
15,15,Honda,Corolla,2018,DA00015,Silver,True
16,16,Ford,Corolla,2018,DA00016,Silver,True
17,17,Honda,Corolla,2023,DA00017,Blue,True
18,18,Hyundai,Focus,2019,DA00018,White,True
19,19,Honda,Civic,2016,DA00019,White,True
20,20,Hyundai,Elantra,2016,DA00020,Black,True
21,21,Hyundai,Elantra,2015,DA00021,Black,True
22,22,Toyota,Civic,2016,DA00022,Silver,True
23,23,Toyota,Elantra,2017,DA00023,White,False
24,24,Honda,Focus,2017,DA00024,Black,True
25,25,Hyundai,Elantra,2020,DA00025,Black,True
26,26,Toyota,Elantra,2018,DA00026,Blue,True
27,27,Ford,Civic,2020,DA00027,Blue,True
28,28,Honda,Civic,2020,DA00028,Black,False
29,29,Toyota,Civic,2015,DA00029,Silver,True
30,30,Toyota,Civic,2017,DA00030,Blue,True
31,31,Honda,Civic,2021,DA00031,Silver,True
32,32,Ford,Corolla,2022,DA00032,Blue,True
33,33,Toyota,Corolla,2021,DA00033,White,True
34,34,Hyundai,Elantra,2021,DA00034,White,True
35,35,Toyota,Civic,2019,DA00035,White,False
36,36,Toyota,Elantra,2020,DA00036,White,True
37,37,Hyundai,Civic,2019,DA00037,Black,True
38,38,Honda,Elantra,2019,DA00038,White,True
39,39,Toyota,Elantra,2019,DA00039,Blue,True
40,40,Ford,Corolla,2023,DA00040,White,True
41,41,Toyota,Elantra,2022,DA00041,Silver,True
42,42,Honda,Focus,2019,DA00042,Black,True
43,43,Ford,Elantra,2019,DA00043,White,True
44,44,Ford,Elantra,2020,DA00044,White,True
45,45,Hyundai,Corolla,2019,DA00045,Silver,True
46,46,Hyundai,Corolla,2017,DA00046,Silver,True
47,47,Ford,Civic,2019,DA00047,White,True
48,48,Toyota,Civic,2019,DA00048,Blue,True
49,49,Hyundai,Elantra,2023,DA00049,Silver,True
50,50,Ford,Corolla,2024,DA00050,Black,True
51,51,Hyundai,Elantra,2021,DA00051,White,True
52,52,Hyundai,Corolla,2018,DA00052,White,True
53,53,Honda,Civic,2015,DA00053,White,True
54,54,Ford,Corolla,2024,DA00054,Silver,True
55,55,Honda,Focus,2021,DA00055,White,True
56,56,Hyundai,Corolla,2016,DA00056,White,True
57,57,Honda,Focus,2020,DA00057,Blue,True
58,58,Toyota,Corolla,2016,DA00058,Black,False
59,59,Ford,Civic,2022,DA00059,White,True
60,60,Ford,Corolla,2021,DA00060,White,True
